구분(1),구분(2),구분(3),구분(4),2023.03,2023.04,2023.05,2023.06,2023.07,2023.08
도시대기,대구,달서구,본동,0.0393,0.0426,0.0453,0.0476,0.0314,0.0303
도시대기,대구,달성군,유가읍,0.0413,0.0448,0.0497,0.0472,0.0314,0.0289
도시대기,대구,달성군,다사읍,0.041,0.0434,0.0441,0.0455,0.031,0.03
도시대기,대구,달성군,화원읍,0.0389,0.0391,0.041,0.0423,0.0281,0.027
도시대기,인천,중구,신흥,0.035,0.0409,0.0418,0.0458,0.0362,0.0345
도시대기,인천,중구,운서,0.0356,0.0351,0.0309*,0.0448,0.0375,0.0332
도시대기,인천,중구,영종,0.0425,0.0457,0.041,0.0476,0.0355,0.0328
도시대기,인천,동구,송림,0.0396,0.0439,0.0364**,-,-,-
도시대기,인천,남동구,구월동,0.0314,0.0368,0.0384,0.0448,0.0322,0.0314
도시대기,인천,남동구,고잔,0.0367,0.0397,0.0408,0.0483,0.0389,0.035
도시대기,인천,남동구,논현,0.0357,0.0389,0.0393,0.0445,0.0322,0.0285
도시대기,인천,남동구,서창,0.032,0.0376,0.0389,0.0467,0.0359,0.0313
도시대기,인천,부평구,부평,0.0375,0.0413,0.0425,0.0503,0.0383,0.0353
도시대기,인천,부평구,삼산,0.0352,0.0367,0.0387,0.0476,0.035,0.0301
도시대기,인천,옹진군,영흥,0.0509,0.0499,0.0507,0.0524,0.0486,0.0479
도시대기,인천,서구,연희,0.0446,0.0446,0.0461,0.0518,0.0401,0.0321
도시대기,인천,서구,석남,0.0387,0.0411,0.0437,0.0499,0.0371,0.0336
도시대기,인천,서구,검단,0.0392,0.041,0.0434,0.0472,0.0362,0.0325
도시대기,인천,서구,원당,0.0356,0.0379,0.0388,0.0458,0.0362,0.0313
도시대기,인천,서구,청라,0.0408,0.0433,0.0379**,-,-,-
도시대기,인천,계양구,계산,0.0404,0.0419,0.0536,0.0575,0.0413,0.0338
도시대기,인천,계양구,효성,0.034,0.0375,0.0396,0.0447,0.0363,0.0309
도시대기,인천,강화군,송해,0.0442,0.0453,0.0472,0.0507,0.0378,0.0344
도시대기,인천,강화군,길상,0.0415,0.0423,0.0442,0.0493,0.0389,0.0315
도시대기,인천,연수구,동춘,0.0361,0.0384,0.0388,0.0517,0.0407,0.0358
도시대기,인천,연수구,송도,0.0399,0.0409,0.0427,0.0502,0.0403,0.0375
도시대기,인천,연수구,아암,0.0381,0.0424,0.0432,0.0473,0.0397,0.0339
도시대기,인천,미추홀구,숭의,0.0404,0.0442,0.0437,0.0475,0.0375,0.0357
도시대기,인천,미추홀구,주안,0.0344,0.0402,0.0415,0.0505,0.0394,0.036
도시대기,광주,동구,서석동,0.0417,0.0447,0.0445,0.0458,0.0285,0.0322
도시대기,광주,서구,농성동,0.0378,0.0436,0.0452,0.0484,0.0305,0.0333
도시대기,광주,서구,유촌동,0.0355,0.0396,0.0398,0.0441,0.0276,0.031
도시대기,광주,북구,두암동,0.0391,0.0425,0.0431,0.047,0.0307,0.0332
도시대기,광주,북구,건국동,0.0424,0.0436,0.0436,0.047,0.03,0.0335
도시대기,광주,북구,일곡동,0.0429,0.0436,0.0425,0.044,0.0275,0.0309
도시대기,광주,광산구,오선동,0.0387,0.0417,0.0425,0.0452,0.0296,0.0318
도시대기,광주,광산구,평동,0.039,0.0422,0.0424,0.0474,0.0299,0.0333
도시대기,광주,광산구,우산동,0.0387,0.0425,0.0422,0.0443,0.028,0.0308
도시대기,광주,남구,주월동,0.0364,0.043,0.0422,0.0456,0.0297,0.0344
도시대기,광주,남구,노대동,0.0448,0.0502,0.0475,0.0544,0.0342,0.031
도시대기,대전,대덕구,읍내동,0.0296,0.036,0.0382,0.0466,0.0274,0.0285
도시대기,대전,대덕구,문평동,0.034,0.0372,0.0377,0.0449,0.0294,0.0328
도시대기,대전,중구,문창동,0.0397,0.0429,0.0439,0.0493,0.029,0.0326
도시대기,대전,유성구,상대동,0.0348,0.0401,0.0434,0.0519,0.0332,0.0334
도시대기,대전,유성구,구성동,0.0372,0.0357,0.0353,0.043,0.0337,0.0386
도시대기,대전,유성구,노은동,0.0389,0.0417,0.0436,0.0516,0.0326,0.0365
도시대기,대전,유성구,관평동,0.0379,0.0389,0.0388,0.0471,0.0268,0.0253
도시대기,대전,동구,성남동,0.0371,0.0433,0.0477,0.0526,0.0371,0.032
도시대기,대전,동구,대성동,0.034,0.0361,0.033,0.0392,0.0202,0.0238
도시대기,대전,서구,정림동,0.0381,0.04,0.0415,0.0466,0.0273,0.0327
도시대기,대전,서구,둔산동,0.0407,0.0427,0.0428,0.0507,0.0323,0.0341
도시대기,울산,중구,성남동,0.0312,0.0334,0.0337,0.0343,0.0251,0.0264
도시대기,울산,중구,약사동,0.0492,0.0507,0.0476,0.0456,0.0308,0.0324
도시대기,울산,남구,부곡동,0.0382,0.0378,0.0388,0.0395,0.0281,0.0283
도시대기,울산,남구,여천동,0.0353,0.0394,0.0373,0.0343,0.0224,0.0231
도시대기,울산,남구,야음동,0.041,0.0429,0.0457,0.044,0.0286,0.0273
도시대기,울산,남구,신정동,0.0328,0.0333,0.0353,0.0379,0.0296,0.0281
도시대기,울산,남구,무거동,0.029,0.0325,0.037,0.0379,0.0268,0.0248
도시대기,울산,남구,삼산동,0.0401,0.0427,0.0415,0.0417,0.0293,0.0292
도시대기,울산,울주군,덕신리,0.0414,0.0429,0.0438,0.041,0.026,0.0260**
도시대기,울산,울주군,웅촌면,0.0434,0.0459,0.044,0.0434,0.0312,0.0283
도시대기,울산,울주군,범서읍,0.0423,0.0445,0.0428,0.0439,0.0285,0.0255
도시대기,울산,울주군,삼남읍,0.0429,0.0443,0.0452,0.0443,0.0305,0.0310**
도시대기,울산,울주군,화산리,0.0375,0.0397,0.0397,0.0402,0.028,0.0265
도시대기,울산,울주군,상남리,0.0348,0.0376,0.0373,0.0378,0.0274,0.0251
도시대기,울산,북구,효문동,0.0377,0.042,0.0385,0.0356,0.022,0.0246
도시대기,울산,북구,농소동,0.0361,0.0387,0.0365,0.0374,0.0231,0.025
도시대기,울산,북구,송정동,0.0416,0.045,0.0437,0.0423,0.0286,0.0305
도시대기,울산,동구,대송동,0.0455,0.0453,0.0438,0.0424,0.0289,0.0333
도시대기,울산,동구,전하동,0.052,0.0524,0.0506,0.0509,0.0333,0.0416
도시대기,세종,세종,신흥동,0.0374,0.0406,0.0412,0.0468,0.0318,0.0331
도시대기,세종,세종,아름동,0.0401,0.0435,0.0444,0.0516,0.0332,0.0347
도시대기,세종,세종,한솔동,0.0397,0.0412,0.0408,0.0465,0.0296,0.0323
도시대기,세종,세종,부강면,0.0331,0.0374,0.0367,0.0432,0.0277,0.0282
도시대기,세종,세종,전의면,0.0358,0.0373,0.0381,0.0423,0.0299,0.0309
도시대기,경기,수원,인계동,0.0313,0.0382,0.0419,0.0493,0.0378,0.0355
도시대기,경기,수원,신풍동,0.0331,0.0397,0.0426,0.0522,0.0394,0.037
도시대기,경기,수원,광교동,0.0307,0.0375,0.0396,0.0478,0.0353,0.0348
도시대기,경기,수원,영통동,0.0326,0.0403,0.0449,0.0557,0.0408,0.0362
도시대기,경기,수원,천천동,0.0331,0.0395,0.0433,0.0478,0.0367,0.0345
