구분(1),구분(2),구분(3),구분(4),2023.03,2023.04,2023.05,2023.06,2023.07,2023.08
도시대기,대전,유성구,구성동,63,66,33,24,21,20
도시대기,대전,유성구,노은동,66,71,33,24,21,20
도시대기,대전,유성구,관평동,67,68,34,23,19,17
도시대기,대전,동구,성남동,67,70,35,24,20,21
도시대기,대전,동구,대성동,55,58,29,23,24,19
도시대기,대전,서구,정림동,59,66,33,26,23,25
도시대기,대전,서구,둔산동,66,76,41,28,26,25
도시대기,울산,중구,성남동,56,64,36,27,25,22
도시대기,울산,중구,약사동,68,75,46,33,33,22
도시대기,울산,남구,부곡동,60,67,40,34,27,22
도시대기,울산,남구,여천동,73,74,41,35,31,27
도시대기,울산,남구,야음동,61,67,42,29,26,22
도시대기,울산,남구,신정동,56,61,33,25,24,20
도시대기,울산,남구,무거동,54,56,30,23,25,21
도시대기,울산,남구,삼산동,59,63,38,31,27,22
도시대기,울산,울주군,덕신리,55,60,33,28,25,20**
도시대기,울산,울주군,웅촌면,58,59,32,24,25,23
도시대기,울산,울주군,삼남읍,52,56,30,19,23,18**
도시대기,울산,울주군,화산리,54,61,41,34,33,25
도시대기,울산,울주군,상남리,56,61,34,26,25,20
도시대기,울산,울주군,범서읍,57,58,31,22,29,21
도시대기,울산,북구,송정동,57,61,33,27,26,19
도시대기,울산,북구,효문동,66,73,46,38,34,25
도시대기,울산,북구,농소동,51,55,27,22,21,15
도시대기,울산,동구,대송동,60,68,37,27,25,20
도시대기,울산,동구,전하동,57,66,39,29,27,23
도시대기,세종,세종,신흥동,69,73,38,27,24,23
도시대기,세종,세종,아름동,68,74,38,28,23,23
도시대기,세종,세종,한솔동,64,68,31,23,20,20
도시대기,세종,세종,부강면,71,68,36,25,22,21
도시대기,세종,세종,전의면,69,69,37,26,22,21
도시대기,경기,수원,인계동,75,67,38,26,22,19
도시대기,경기,수원,신풍동,67,69,41,27,26,22
도시대기,경기,수원,광교동,76,68,42,34,27,22
도시대기,경기,수원,영통동,67,68,39,30,29,24
도시대기,경기,수원,천천동,71,70,43,31,28,24
도시대기,경기,수원,고색동,84,79,47,39,39,30
도시대기,경기,수원,호매실동,72,70,41,29,28,24
도시대기,경기,안양,안양8동,66,63,38,29,27,21
도시대기,경기,안양,부림동,75,70,45,35,24,27
도시대기,경기,안양,호계동,84,76,44,32,25,22
도시대기,경기,안양,안양2동,72,66,40,29,27,24
도시대기,경기,성남,단대동,68,63,39,30,27,23
도시대기,경기,성남,정자동,70,61,34,25,22,19
도시대기,경기,성남,수내동,70,63,37,29,28,23
도시대기,경기,성남,복정동,70,65,40,32,30,26
도시대기,경기,성남,상대원동,70,62,35,26,23,20
도시대기,경기,성남,운중동,72,64,39,25,22,19
도시대기,경기,의정부,의정부동,68,63,37,29,28,22
도시대기,경기,의정부,의정부1동,73,67,41,31,28*,22
도시대기,경기,의정부,송산3동,66,58,36,29,31,23
도시대기,경기,광명,철산동,79,49*,42,29,24,21
도시대기,경기,광명,소하동,70**,76*,44,31,27,24
도시대기,경기,안산,고잔동,70,70,40,27,25,21
도시대기,경기,안산,원시동,82,81,53,35,35,29
도시대기,경기,안산,본오동,72,66,40,25,25,24
도시대기,경기,안산,원곡동,83,79,54,46,38,30
도시대기,경기,안산,부곡동,76,65,40,27,24,21
도시대기,경기,안산,대부동,63,69,38,23,24,21
도시대기,경기,안산,호수동,67,64,38,27,25,22
도시대기,경기,평택,비전동,81,82,50,38,33,31
도시대기,경기,평택,안중,78,85,49,35,31,30
도시대기,경기,평택,평택항,84,83,54,36,31,29
도시대기,경기,평택,송북동,79,76,45,37,31,28
도시대기,경기,평택,청북읍,75,79,47,34,28,26
도시대기,경기,평택,고덕동,73,73,45,36,31,27
도시대기,경기,과천,별양동,70,63,39,27,25,21
도시대기,경기,과천,과천동,68,65,39,29,28,23
도시대기,경기,구리,교문동,69,64,38,30,29,24
도시대기,경기,구리,동구동,72,66,39,29,23,17
도시대기,경기,의왕,부곡3동,75,64,39,29,28,26
도시대기,경기,의왕,고천동,68,59,35,25,22,20
도시대기,경기,고양,행신동,70,66,39,31,28,23
도시대기,경기,고양,식사동,71,69,42,34,30,26
도시대기,경기,고양,신원동,74,66,43,35,31,25
도시대기,경기,고양,주엽동,69,66,41,32,27,24
도시대기,경기,광주,경안동,78,70,43,33,30,24
도시대기,경기,광주,오포1동,70,62,38,28,25,21
도시대기,경기,광주,곤지암,73,65,39,28,25,20
도시대기,경기,군포,당동,77,74,45,34,29,25
도시대기,경기,군포,산본동,72,68,39,29,25,21
도시대기,경기,시흥,정왕동,76,71,46,33,29,24
도시대기,경기,시흥,시화산단,85,79,53,33,30,27
도시대기,경기,시흥,대야동,71,69,44,31,27,23
도시대기,경기,시흥,목감동,78,70,47,37,32,28
도시대기,경기,시흥,장현동,78,72,45,33,28,24
도시대기,경기,시흥,배곧동,80,74,48,33,25,23
도시대기,경기,부천,소사본동,77,69,42,31,24,19
도시대기,경기,부천,내동,82,72,45,31,24,19
도시대기,경기,부천,중2동,75,69,44,31,24,20
도시대기,경기,부천,오정1동,76,72,43,30,24,20
도시대기,경기,남양주,금곡동,61,59,36,29,31,25
도시대기,경기,남양주,오남읍,65,60,35,28,30,18**
도시대기,경기,남양주,별내동,73,64,37,26,24,19
도시대기,경기,남양주,화도읍,74,66,38,29,28,18
도시대기,경기,남양주,와부읍,70,61,37,31,31,25
도시대기,경기,남양주,진접읍,69,61,38,31,33,26
도시대기,경기,용인,김량장동,72,63,36,23,22,19
도시대기,경기,용인,수지,73,67,36,28,26,20
도시대기,경기,용인,기흥,73,63,39,27,24,21
도시대기,경기,용인,모현읍,80,71,43,32,29,26
도시대기,경기,용인,이동읍,76,67,39,28,24,21
도시대기,경기,용인,백암면,74,68,40,28,25,23
도시대기,경기,김포,사우동,74,72,40,26,26,22
도시대기,경기,김포,고촌읍,73,69,40,31,27,24
도시대기,경기,김포,월곶면,68,65,38,29,27,19
도시대기,경기,김포,한강신도시,80,77,45,33,29,23
도시대기,경기,오산,오산동,71,70,40,31,29,24
도시대기,경기,하남,신장동,71,62,35,25,26,21
도시대기,경기,하남,미사,76,71,43,33,31,25
도시대기,경기,화성,남양읍,74,72,45,30,27,24
도시대기,경기,화성,향남,74,73,44,32,27,25
도시대기,경기,화성,동탄동,71,68,39,32,26,22
도시대기,경기,화성,우정읍,72,76,48,36,33,28
도시대기,경기,화성,청계동,69,67,39,35,32,23
도시대기,경기,화성,새솔동,70,66,38,25,23,20
도시대기,경기,화성,봉담읍,85,83,56,50,37,36
도시대기,경기,화성,서신면,77,78,48,39,31,25
도시대기,경기,양주,백석읍,69,64,37,28,24,20
도시대기,경기,양주,고읍,72,65,37,28,25,19
도시대기,경기,동두천,보산동,66,59,33,26,24,17
도시대기,경기,안성,봉산동,71,67,37,22,20,18
도시대기,경기,안성,공도읍,80,74,44,29,24,22
도시대기,경기,안성,죽산면,82,77,44,31,27,25
도시대기,경기,이천,창전동,65,59,36,28,23,20
도시대기,경기,이천,장호원읍,71,67,42,33,24,21
도시대기,경기,이천,부발읍,84,76,44,37,31,29
도시대기,경기,파주,금촌동,52**,-,-,-,-,-
도시대기,경기,파주,운정,72,73,43,30,28,23
도시대기,경기,파주,파주읍,63,58,33,22,20,16
도시대기,경기,포천,선단동,71,60,36,26,30,21
도시대기,경기,포천,일동면,51,43,26,17,21,16
도시대기,경기,여주,중앙동,74,67,42,32,27,23
도시대기,경기,여주,대신면,70,64,41,34,29,23
도시대기,경기,여주,가남읍,81,74,48,41,32,28
도시대기,경기,연천,연천,63,57,31,21,21,15
도시대기,경기,연천,전곡,66,59,34,23,22,17
도시대기,경기,가평,가평읍,58,54,35,24,25,19
도시대기,경기,가평,설악면,65,57,36,26,25,21
도시대기,경기,양평,양평읍,73,62,40,28,26,21
도시대기,경기,양평,용문면,62,58,37,26,22,17
도시대기,강원,양구,양구읍,44,43,27,17,17,11
도시대기,강원,고성,상리,44,61,29**,-,-,-
도시대기,강원,정선,정선읍사무소,59,70,34,22,14,9
도시대기,강원,횡성,우천면,60,55,33,23,17,19**
도시대기,강원,횡성,횡성읍,55,50,30,22,19,16
도시대기,강원,춘천,중앙로,55,52,35,25,28,20
도시대기,강원,춘천,석사동,54,62*,-,22*,-,-
도시대기,강원,춘천,신사우동,61,55,35,22,22,15
도시대기,강원,강릉,주문진읍,55,71,33,18,22,17
도시대기,강원,강릉,옥천동,53,70,37,21,23,15
도시대기,강원,원주,중앙동,62,69,50,41,34,25
도시대기,강원,원주,문막읍,61,53,34,25,25,24
도시대기,강원,원주,반곡동,64,59,38,28,28,26
도시대기,강원,원주,지정면,66,60,36,29,28,26
도시대기,강원,동해,천곡동,56,82,42,26,30,21
도시대기,강원,삼척,남양동,42,62,33,23,26,18
도시대기,강원,평창,평창읍,50,51,24,10,17,17
도시대기,강원,양양,양양읍,47,61,34,19,19,13
도시대기,강원,속초,금호동,56,72,42,27,29,22
도시대기,강원,영월,영월읍,55,57,32,23,20,18
도시대기,강원,철원,갈말읍,62,59,37,27,27,20
도시대기,강원,홍천,홍천읍,60,54,33,23,20,15
도시대기,강원,화천,화천군,59,53,35,23,24,16
도시대기,강원,태백,황지동,51,60,28,17,11,7
도시대기,강원,인제,인제읍,49,55,33,20,21,13
도시대기,충북,괴산,괴산읍,62,67,34,27,23,22
도시대기,충북,괴산,감물면,64,66,32,26,21,19
도시대기,충북,음성,음성읍,67,70,35,25,23,21
도시대기,충북,음성,소이면,70,69,38,27,20,19
도시대기,충북,청주,송정동,83,93*,33**,32,25,24
도시대기,충북,청주,사천동,79,73,41,31*,22,23
도시대기,충북,청주,용담동,65,43**,-,-,-,-
도시대기,충북,청주,용암동,85,80,38,26,20,21
도시대기,충북,청주,오창읍,71,71,39,28,22,20
도시대기,충북,청주,산남동,67,67,35,26,21,19
도시대기,충북,청주,가덕면,64,66,32,24,30,24
도시대기,충북,청주,오송읍,75,77,39,29,23,22
도시대기,충북,충주,호암동,77,75,43,32,25,24
도시대기,충북,충주,칠금동,76,70,39,27,21,22
도시대기,충북,충주,중앙탑면,69,70,37,28,27,23
도시대기,충북,충주,살미면,59,60,31,26,24,23
도시대기,충북,제천,장락동,72,73,44,33,31,25
도시대기,충북,제천,영천동,69,67,41,31,28,24
도시대기,충북,제천,청풍면,58,61,31,24,20,21
도시대기,충북,단양,매포읍,68,65,36,29,24,27
