0,"<b>상명대</b> 생명공학전공 기장서 교수 연구팀, 해양 마비성 패류독소 알렉산드리움...",http://www.veritas-a.com/news/articleView.html?idxno=498760,http://www.veritas-a.com/news/articleView.html?idxno=498760,<b>상명대</b> 생명과학과 기장서 교수 연구팀은 김한솔 박사와 김태희 연구원 주도로 최근 독성 와편모조류... <b>상명대</b> 생명과학과 기장서 교수 연구팀은 김한솔 박사와 김태희 연구원 주도로 최근 독성 와편모조류... ,"Fri, 29 Mar 2024 09:38:00 +0900"
,title,originallink,link,description,pubDate
0,"기장서 <b>상명대</b> 생명공학전공 교수 연구팀, 해양 마비성 패류독소 알렉산드리움...",https://www.dailysmart.co.kr/news/articleView.html?idxno=85179,https://www.dailysmart.co.kr/news/articleView.html?idxno=85179,"기장서(오른쪽) <b>상명대</b>학교 생명과학과 교수, 김한솔 박사, 김태희 연구원. 사진=<b>상명대</b>.  기장서 <b>상명대</b>학교 생명과학과 교수 연구팀이 김한솔 박사와 김태희 연구원 주도로 최근 독성 와편모조류 알렉산드리움을... ","Fri, 29 Mar 2024 09:38:00 +0900"
,title,originallink,link,description,pubDate
0,연내 만기 카드채 규모만 22조원…금리변동에 카드사 이자 부담 ‘천정부지’,https://www.ceoscoredaily.com/page/view/2024032812504347038,https://www.ceoscoredaily.com/page/view/2024032812504347038,"한국신용카드학회 학회장 서지용 <b>상명대</b>학교 경영학부 교수는 “만기 도래하는 채권에 대해 실질적으로 차환 발행을 해야 하는데, 카드사들은 이전에 발행했던 금리보다 높은 수준의 금리로 차환 발행을 하게... ","Fri, 29 Mar 2024 07:02:00 +0900"
,title,originallink,link,description,pubDate
0,시중은행 손 잡고 판 키우는 삼성금융…쏠림 우려도,http://www.kukinews.com/newsView/kuk202403280231,http://www.kukinews.com/newsView/kuk202403280231,서지용 <b>상명대</b> 경영학부 교수는 “마이데이터 사업 본래 취지는 인허가 받은 모든 사업자 간에 정보 교류를 원활하게 하기 위한 것”이라며 “하지만 삼성금융네트웍스가 은행과 손을 잡고 판을 키우게 되면 장기적인... ,"Fri, 29 Mar 2024 06:40:00 +0900"
,title,originallink,link,description,pubDate
0,이마트 위기…산지 영향 ‘촉각’,https://www.nongmin.com/article/20240327500736,https://n.news.naver.com/mnews/article/662/0000040324?sid=101,양석준 <b>상명대</b>학교 경영학부 교수는 “공산품과 견줘 농산물 유통의 온라인 전환은 속도가 매우 느리다”면서 “온라인 전환이 도매시장뿐 아니라 소매시장까지 확장할 수 있도록 정부의 적극적인 투자가 필요하다”... ,"Fri, 29 Mar 2024 05:02:00 +0900"
,title,originallink,link,description,pubDate
0,"<b>상명대</b>, 해외 5개 대학과 언어문화교류 활발",https://www.newscj.com/news/articleView.html?idxno=3123690,https://www.newscj.com/news/articleView.html?idxno=3123690,<b>상명대</b>학교(총장 홍성태) 한국언어문화전공은 2022년부터 해외 대학 한국어 및 한국학 전공 학생들과... 특히 지난해 참여한 파키스탄국립외국어대 한국어 및 한국문화학과 소속 슈마일 파티마 학생은 <b>상명대</b>와의... ,"Thu, 28 Mar 2024 22:50:00 +0900"
,title,originallink,link,description,pubDate
